MPI size	gridx	gridy	gridz	gridgapx	gridgapy	gridgapz	nsteps	cal_time
8		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:02:24.824661
7		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:02:49.688561
6		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:03:14.789317
5		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:03:50.488233
4		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:05:06.649303
3		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:07:27.491676
8			64		64		420		5.0e-08		5.0e-08		5.0e-09		1001		0:02:25.527958
8			128		128		420		5.0e-08		5.0e-08		5.0e-09		1001		0:10:43.624794
7			128		128		420		5.0e-08		5.0e-08		5.0e-09		1001		0:12:12.953501
